city_name,10-Trips,9-Trips,8-Trips,7-Trips,6-Trips,5-Trips,4-Trips,3-Trips,2-Trips
Visakhapatnam,0.92,0.88,1.39,1.98,3.19,5.44,9.98,24.96,51.25
Chandigarh,1.79,2.33,3.47,5.48,7.42,12.21,15.74,19.25,32.31
Surat,1.35,1.74,6.24,11.89,18.45,19.75,16.55,14.26,9.76
Vadodara,1.61,2.05,5.78,12.86,19.08,18.06,16.52,14.17,9.87
Mysore,0.47,0.54,1.42,1.76,4.06,5.82,12.73,24.44,48.75
Kochi,0.81,1.21,1.65,2.11,3.91,6.48,11.81,24.35,47.67
Indore,1.51,2.38,3.26,5.24,6.85,10.34,13.40,22.69,34.34
Jaipur,0.97,1.20,1.90,2.52,4.13,6.29,12.12,20.73,50.14
Coimbatore,1.22,2.31,6.15,10.47,17.64,20.62,15.56,14.82,11.21
Lucknow,1.10,1.91,6.43,11.33,20.18,18.42,16.20,14.77,9.66
